Target_Role,Required_Skills,Phase_1_YouTube_Embed,Phase_2_Course_Link,Demo_Job_Title,Demo_Company,Year_1_Plan,Year_2_Plan,Year_3_Plan,Year_4_Plan,Salary_Range,Top_Companies,Certifications
Software Engineer,Python; DSA; OOP; Git; REST APIs,https://www.youtube.com/embed/rfscVS0vtbw,https://www.coursera.org/specializations/software-design-architecture,Junior Software Engineer,Infosys,"Learn Python basics, OOP, Git version control, solve 50 easy LeetCode problems","Master DSA (trees, graphs, DP), build 2 CRUD projects with REST APIs, learn SQL","System Design basics, internship at a startup, contribute to open source GitHub project","Full-stack capstone project, crack coding interviews, apply to product-based companies",4-8 LPA,"Google, Amazon, Microsoft, Infosys, TCS, Wipro, Zoho","AWS Cloud Practitioner, Oracle Java SE, Meta Back-End Developer"
Software Engineer,Java; Spring Boot; Microservices; SQL; Docker,https://www.youtube.com/embed/eIrMbAQSU34,https://www.udemy.com/course/spring-framework-5-beginner-to-guru/,Backend Developer,Wipro,"Java fundamentals, OOPS, collections, exception handling, basic JDBC","Spring Boot, REST API development, MySQL, basic Docker setup","Microservices architecture, Kafka basics, deploy on AWS EC2, internship","Production-grade project, system design interview prep, placement drive",5-10 LPA,"Wipro, HCL, Cognizant, Capgemini, Oracle India","Spring Professional, Docker Certified Associate, AWS Developer"
Software Engineer,JavaScript; React; Node.js; TypeScript; GraphQL,https://www.youtube.com/embed/PkZNo7MFNFg,https://www.udemy.com/course/the-complete-javascript-course/,Full Stack Developer,Zoho Corporation,"HTML, CSS, JavaScript basics, responsive design, DOM manipulation","React fundamentals, Node.js + Express, MongoDB, build a full-stack app","TypeScript, GraphQL, Next.js, deploy projects on Vercel/Netlify, freelance","MERN capstone product, portfolio website, apply to startups and product companies",5-12 LPA,"Zoho, Freshworks, Swiggy, Razorpay, Cred, Startups","Meta Front-End Developer, MongoDB Developer, Google UX Design"
Data Scientist,Python; Pandas; NumPy; Scikit-learn; Statistics,https://www.youtube.com/embed/ua-CiDNNj30,https://www.coursera.org/professional-certificates/ibm-data-science,Data Science Intern,Mu Sigma,"Python basics, statistics fundamentals, Excel for data analysis, Kaggle starter notebooks","Pandas, NumPy, Matplotlib, basic ML models (linear, logistic regression), EDA projects","Advanced ML (Random Forest, XGBoost, SVM), feature engineering, Kaggle competitions","End-to-end ML project, model deployment using Flask/FastAPI, crack data science interviews",5-12 LPA,"Mu Sigma, Fractal Analytics, Amazon, Flipkart, Ola, PhonePe","IBM Data Science, Google Data Analytics, Coursera ML Specialization"
Data Scientist,SQL; Tableau; Power BI; EDA; Data Wrangling,https://www.youtube.com/embed/qfyynHBFOsM,https://www.udemy.com/course/tableau10/,Data Analyst,Fractal Analytics,"SQL basics, Excel pivot tables, intro to data visualization concepts","Advanced SQL (CTEs, window functions), Tableau dashboards, Power BI reports","Python for analysis, storytelling with data, build a business intelligence project","Analytics portfolio (3+ dashboards), SQL interview practice, placement prep",4-9 LPA,"Fractal Analytics, Tiger Analytics, Capgemini Analytics, Deloitte, KPMG","Tableau Desktop Specialist, Microsoft Power BI DA-100, Google Data Analytics"
Data Scientist,TensorFlow; Deep Learning; NLP; Feature Engineering; MLflow,https://www.youtube.com/embed/VwVg9jCtqaU,https://www.coursera.org/specializations/deep-learning,Machine Learning Engineer,Tata Consultancy Services,"Python + math foundations (linear algebra, calculus, stats), intro to ML theory","Neural networks basics, TensorFlow/Keras, build image classifier, NLP basics","Transformers, BERT, fine-tuning LLMs, MLflow for experiment tracking, internship","Research-grade ML project or paper, Kaggle Master rank, full-time ML role prep",8-20 LPA,"TCS Research, Microsoft AI, Google Brain India, Ola AI, Walmart Labs","TensorFlow Developer, DeepLearning.AI specializations, AWS ML Specialty"
Cybersecurity Analyst,Networking; Linux; TCP/IP; Firewalls; OWASP Top 10,https://www.youtube.com/embed/3QhU9jd03a0,https://www.coursera.org/professional-certificates/google-cybersecurity,SOC Analyst L1,HCL Technologies,"Networking fundamentals (OSI model, TCP/IP), Linux command line, basic security concepts","OWASP Top 10, Wireshark, firewall configuration, CompTIA Security+ study","SIEM tools, incident response playbooks, CTF competitions, internship in security ops","Security+ certification, build home lab, apply to SOC and VAPT roles",4-8 LPA,"HCL, IBM Security, Wipro CyberSecurity, Deloitte, EY, KPMG","CompTIA Security+, Google Cybersecurity, CEH"
Cybersecurity Analyst,Penetration Testing; Metasploit; Burp Suite; Kali Linux; CTF,https://www.youtube.com/embed/fNzpcB7ODxQ,https://www.udemy.com/course/learn-ethical-hacking-from-scratch/,Junior Penetration Tester,Quick Heal Technologies,"Linux basics, Python scripting for security, network scanning tools (Nmap)","Web application hacking, Burp Suite, Metasploit basics, TryHackMe rooms","Active CTF participation (HackTheBox), bug bounty programs (HackerOne), internship","eJPT or CEH certification, portfolio of CVEs found, apply to red team roles",5-15 LPA,"Quick Heal, Palo Alto Networks, CrowdStrike India, CERT-In, Bug Bounty Programs","CEH, OSCP, eJPT, CompTIA PenTest+"
Cybersecurity Analyst,SIEM; Splunk; Incident Response; Threat Intelligence; NIST Framework,https://www.youtube.com/embed/PlHnamlMaGM,https://www.udemy.com/course/splunk-beginner/,Cybersecurity Analyst,IBM Security,"IT fundamentals, intro to cybersecurity, basic threat awareness, Linux basics","Splunk dashboards, log analysis, MITRE ATT&CK framework, threat hunting basics","NIST incident response, digital forensics basics, security audit practice","Splunk Core certification, hands-on IR simulation project, placement in security ops",6-12 LPA,"IBM Security, Accenture Security, Tata Communications, Securonix India","Splunk Core Certified User, CompTIA CySA+, SANS GIAC"
Cloud Architect,AWS Core Services; VPC; IAM; S3; EC2,https://www.youtube.com/embed/ZHnpRMaGHmI,https://www.coursera.org/professional-certificates/aws-cloud-solutions-architect,Cloud Support Engineer,Amazon Web Services,"Cloud concepts, AWS free tier hands-on, S3 + EC2 basics, Linux on cloud","VPC networking, IAM policies, RDS, Lambda functions, deploy a web app on AWS","AWS Solutions Architect Associate certification, CloudFormation/Terraform, internship","AWS SAA certificate, cloud capstone project, apply to cloud engineering roles",7-18 LPA,"Amazon, Microsoft Azure India, Google Cloud India, TCS Cloud, Infosys Cloud","AWS Solutions Architect Associate, AWS Cloud Practitioner, Terraform Associate"
Cloud Architect,Azure; ARM Templates; Azure DevOps; Kubernetes; Terraform,https://www.youtube.com/embed/M988_fsOSWo,https://www.udemy.com/course/70533-azure/,Azure Cloud Engineer,Microsoft India,"Azure fundamentals, virtual machines, storage accounts, AZ-900 prep","Azure DevOps pipelines, container basics, Docker, AZ-104 prep","Kubernetes (AKS), Terraform for Azure, infrastructure as code projects","AZ-305 certification, cloud architecture project, Microsoft or partner company placement",8-20 LPA,"Microsoft India, HCL Cloud, Wipro Cloud, Capgemini Cloud, Atos India","AZ-900, AZ-104, AZ-305, Kubernetes CKA"
Cloud Architect,GCP; BigQuery; Cloud Functions; Pub/Sub; Site Reliability Engineering,https://www.youtube.com/embed/IUU6OR8yHCc,https://www.coursera.org/professional-certificates/preparing-for-google-cloud-associate-cloud-engineer,Cloud Infrastructure Engineer,Google India,"GCP free tier, Cloud Console navigation, GCS + Compute Engine basics","BigQuery for data analysis, Cloud Functions, Pub/Sub event-driven architecture","GKE (Kubernetes on GCP), SRE principles, CI/CD with Cloud Build, internship","Google ACE certification, production-grade GCP project, Google or cloud partner placement",10-25 LPA,"Google India, Deloitte GCP, ThoughtWorks, Searce, CloudCover","Google Cloud ACE, Google Professional Cloud Architect, GCP Data Engineer"
AI Engineer,Python; PyTorch; LLMs; Prompt Engineering; Hugging Face,https://www.youtube.com/embed/aircAruvnKk,https://www.coursera.org/specializations/machine-learning-introduction,AI/ML Engineer,NVIDIA India,"Python + math for ML (linear algebra, probability), intro to neural networks, fast.ai course","PyTorch fundamentals, build CNN and RNN models, Hugging Face transformers basics","Fine-tune LLMs, prompt engineering, build an AI-powered app, publish on HuggingFace Hub","Research paper or product, LLM fine-tuning capstone, apply to AI labs and product companies",12-30 LPA,"NVIDIA, OpenAI, Google DeepMind, Microsoft AI, Anthropic, Sarvam AI, Krutrim","DeepLearning.AI TensorFlow Developer, AWS ML Specialty, NVIDIA DLI"
